index,Output,Input
50,"I don't like it here, Morty. I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt?","The glarp zone is for flarping and unglarping only. The glarp zone is for flarping and unglarping only. We had a little incident. A student was frozen to death.  And there's no evidence that a Latino student did it! Everyone wants to take this to a racial place. I won't let them. What kind of God lets this happen? Summer? Yeah, see, I thought something was fishy there, because it's usually Morty's grandpa that's taking him out of school. "
51,"That means they're good ones. You're a good kid, Morty. Those mega seeds are super valuable to my work. You've been a huge help to me. I'm gonna be able to do a-","Yeah, Rick. Let's just get this over with, okay? I mean, these things are pointy. They hurt. I don't like it here, Morty. I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt? The glarp zone is for flarping and unglarping only. The glarp zone is for flarping and unglarping only. We had a little incident. A student was frozen to death.  And there's no evidence that a Latino student did it! Everyone wants to take this to a racial place. I won't let them. What kind of God lets this happen? "
52,Why does he have to go over there?,"That means they're good ones. You're a good kid, Morty. Those mega seeds are super valuable to my work. You've been a huge help to me. I'm gonna be able to do a- Yeah, Rick. Let's just get this over with, okay? I mean, these things are pointy. They hurt. I don't like it here, Morty. I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt? The glarp zone is for flarping and unglarping only. The glarp zone is for flarping and unglarping only. We had a little incident. A student was frozen to death.  And there's no evidence that a Latino student did it! Everyone wants to take this to a racial place. I won't let them. "
53,What new-  what new machine?,"Why does he have to go over there? That means they're good ones. You're a good kid, Morty. Those mega seeds are super valuable to my work. You've been a huge help to me. I'm gonna be able to do a- Yeah, Rick. Let's just get this over with, okay? I mean, these things are pointy. They hurt. I don't like it here, Morty. I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt? The glarp zone is for flarping and unglarping only. The glarp zone is for flarping and unglarping only. "
54,"Run, Morty! Run!","What new-  what new machine? Why does he have to go over there? That means they're good ones. You're a good kid, Morty. Those mega seeds are super valuable to my work. You've been a huge help to me. I'm gonna be able to do a- Yeah, Rick. Let's just get this over with, okay? I mean, these things are pointy. They hurt. I don't like it here, Morty. I can't abide bureaucracy. I don't like being told where to go and what to do. I consider it a violation. Did you get those seeds all the way up your butt? The glarp zone is for flarping and unglarping only. "
55,Don't think about it!,"Aaaaah! Ohhhhhh! Ohhhhh! Aaaaaah! Run, Morty! Run! What new-  what new machine? "
56,"Ooh! Oh, nice, Morty! The student becomes the teacher.","Don't think about it! Aaaaah! Ohhhhhh! Ohhhhh! Aaaaaah! Run, Morty! Run! "
57,"I need to type in the coordinates to our home world, Morty. Cover me.","Whoooooo! Ooh! Oh, nice, Morty! The student becomes the teacher. Don't think about it! Aaaaah! Ohhhhhh! Ohhhhh! "
58,"They're just robots, Morty! It's okay to shoot them! They're robots!","Oh, man. I mean, you know, I-I don't want to shoot nobody. I need to type in the coordinates to our home world, Morty. Cover me. Whoooooo! Ooh! Oh, nice, Morty! The student becomes the teacher. Don't think about it! Aaaaah! "
59,"It's a figure of speech, Morty. They're bureaucrats. I don't respect them. Just keep shooting, Morty. You have no idea what prison is like here!","They're not robots, Rick! They're just robots, Morty! It's okay to shoot them! They're robots! Oh, man. I mean, you know, I-I don't want to shoot nobody. I need to type in the coordinates to our home world, Morty. Cover me. Whoooooo! Ooh! Oh, nice, Morty! The student becomes the teacher. "
60,"Come on, Morty! We got to get the hell out of here!","Holy crap! This is insane! It's a figure of speech, Morty. They're bureaucrats. I don't respect them. Just keep shooting, Morty. You have no idea what prison is like here! They're not robots, Rick! They're just robots, Morty! It's okay to shoot them! They're robots! Oh, man. I mean, you know, I-I don't want to shoot nobody. I need to type in the coordinates to our home world, Morty. Cover me. "
61,"You can get his number later. Come on, Morty. We got to get out of here. You got to get those seeds out of your ass.","Yeah. You're Morty, right? Uh, yeah. Well, you know, my-my Ferrari's in the shop.  Just kidding. Wow. Did you just come into the cafeteria through a portal? Come on, Morty! We got to get the hell out of here! Holy crap! This is insane! "
62,"Oh, hi, Jerry. Oh, my goodness, Morty! What are you doing out of class? We talked about this. Your-your parents and I are very disappointed in-in this behavior... No? No takers?","I'm an angry father, not an improviser. What? Oh, look, honey. It's our son with Albert Ein-douche. You can get his number later. Come on, Morty. We got to get out of here. You got to get those seeds out of your ass. Yeah. You're Morty, right? "
63,You guys should really not be touching that stuff. It's beyond your reasoning.,"Oh, hi, Jerry. Oh, my goodness, Morty! What are you doing out of class? We talked about this. Your-your parents and I are very disappointed in-in this behavior... No? No takers? I'm an angry father, not an improviser. What? Oh, look, honey. It's our son with Albert Ein-douche. You can get his number later. Come on, Morty. We got to get out of here. You got to get those seeds out of your ass. Yeah. "
64,Takes one to know one.,"You're beyond our reasoning! You guys should really not be touching that stuff. It's beyond your reasoning. Oh, hi, Jerry. Oh, my goodness, Morty! What are you doing out of class? We talked about this. Your-your parents and I are very disappointed in-in this behavior... No? No takers? I'm an angry father, not an improviser. What? Oh, look, honey. It's our son with Albert Ein-douche. "
65,What what are you guys doing with my stuff?,"Dad, how could you make my son miss an entire semester of school? I mean, it's not like he's a hot girl. He can't just bail on his life and set up shop in someone else's. Takes one to know one. You're beyond our reasoning! You guys should really not be touching that stuff. It's beyond your reasoning. Oh, hi, Jerry. Oh, my goodness, Morty! What are you doing out of class? We talked about this. Your-your parents and I are very disappointed in-in this behavior... No? No takers? I'm an angry father, not an improviser. "
66,"A nursing home? What are what are you, nuts? I'm a genius. I build robots for fun.","We're moving you to a nursing home. What what are you guys doing with my stuff? Dad, how could you make my son miss an entire semester of school? I mean, it's not like he's a hot girl. He can't just bail on his life and set up shop in someone else's. Takes one to know one. You're beyond our reasoning! You guys should really not be touching that stuff. It's beyond your reasoning. "
67,What are you trying to say about Morty? That he's stupid or something?,"Morty, stay out of this. You are obviously not capable of judging these situations on your own. Dad, mom, come on. Rick just needed my help is all. It's personal. What does that mean? Well, now you can build baskets and watch Paul Newman movies on VHS and mentally scar the Boy Scouts every Christmas. A nursing home? What are what are you, nuts? I'm a genius. I build robots for fun. "
